State,District,Population,Confirmed,Deceased,Recovered,Tested,Vaccinated1,Vaccinated2
AS,Morigaon,957853,0,0,0,0,264,482
AS,Nagaon,2826006,0,0,0,0,758,1481
AS,Nalbari,769919,0,0,0,0,388,1492
AS,Sivasagar,1150253,0,0,0,0,46,714
AS,Sonitpur,1925975,0,0,0,0,448,2664
AS,South Salmara Mankachar,555114,0,0,0,0,260,1288
AS,Tinsukia,1316948,0,0,0,0,6637,1679
AS,Udalguri,832769,0,0,0,0,1935,1396
AS,Unknown,832769,212,1,236,0,0,0
AS,West Karbi Anglong,300320,0,0,0,0,312,147
BR,Araria,2806200,0,0,0,0,5177,3067
BR,Arwal,700843,0,0,0,0,262,1360
BR,Aurangabad,2511243,0,0,0,0,1264,2657
BR,Banka,2029339,0,0,0,0,2635,3138
BR,Begusarai,2954367,0,0,1,0,1906,2774
BR,Bhagalpur,3032226,0,0,1,0,2122,3458
BR,Bhojpur,2720155,0,0,0,0,3232,4879
BR,Buxar,1707643,0,0,0,0,1083,2516
BR,Darbhanga,3921971,0,0,0,0,2858,5306
BR,East Champaran,5082868,0,0,0,0,2434,8014
BR,Gaya,4379383,0,0,0,0,1708,1689
BR,Gopalganj,2558037,0,0,0,0,5308,8468
BR,Jamui,1756078,0,0,0,0,1435,1416
BR,Jehanabad,1124176,0,0,0,0,498,1617
BR,Kaimur,1626900,0,0,0,0,1067,2183
BR,Katihar,3068149,0,0,0,0,2680,2966
BR,Khagaria,1657599,0,0,0,0,881,2118
BR,Kishanganj,1690948,3,0,1,0,1997,1445
BR,Lakhisarai,1000717,0,0,0,0,595,1005
BR,Madhepura,1994618,0,0,0,0,2700,4459
BR,Madhubani,4476044,2,0,0,0,2735,6686
BR,Munger,1359054,0,0,0,0,851,2867
BR,Muzaffarpur,4778610,0,0,0,0,3545,7023
BR,Nalanda,2872523,0,0,0,0,2168,1826
BR,Nawada,2216653,0,0,0,0,4176,4338
BR,Patna,5772804,2,0,3,0,737,2024
BR,Purnia,3273127,0,0,0,0,2821,1959
BR,Rohtas,2962593,0,0,0,0,4911,4149
BR,Saharsa,1897102,0,0,0,0,28493,18126
BR,Samastipur,4254782,1,0,1,0,3216,5157
BR,Saran,3943098,0,0,2,0,4149,6693
BR,Sheikhpura,634927,0,0,0,0,345,788
BR,Sheohar,656916,0,0,0,0,666,1629
BR,Sitamarhi,3419622,0,0,0,0,3873,5476
BR,Siwan,3318176,0,0,0,0,1163,4030
BR,Supaul,2228397,0,0,0,0,3029,5131
BR,Vaishali,3495021,0,0,0,0,1522,2621
BR,West Champaran,3935042,0,0,0,0,7525,6316
CH,Chandigarh,1055450,5,0,3,1403,211,1282
CT,Balod,826165,0,0,0,0,523,762
CT,Baloda Bazar,1305343,0,0,1,0,953,605
CT,Balrampur,598855,0,0,0,0,1654,725
CT,Bametara,197035,1,0,0,0,25,25
CT,Bastar,1302253,2,0,2,0,82,129
CT,Bijapur,229832,3,0,1,0,47,56
CT,Bilaspur,1961922,1,0,3,0,2404,9113
CT,Dakshin Bastar Dantewada,533638,1,0,0,0,143,1299
CT,Dhamtari,799199,0,0,2,0,1,18
CT,Durg,3343079,4,0,6,0,468,908
CT,Gariaband,597653,0,0,0,0,440,153
CT,Gaurela Pendra Marwahi,597653,1,0,0,0,257,297
CT,Janjgir Champa,1620632,2,0,4,0,1722,1341
CT,Jashpur,852043,0,0,3,0,187,383
CT,Kabeerdham,584667,0,0,0,0,1128,1288
CT,Kondagaon,578326,0,0,0,0,243,184
CT,Korba,1206563,5,0,2,0,1086,1126
CT,Koriya,659039,0,1,0,0,2370,346
CT,Mahasamund,1032275,0,0,0,0,159,6309
CT,Mungeli,701707,0,0,0,0,1330,981
CT,Narayanpur,140206,0,0,0,0,1075,903
CT,Other State,140206,1,0,0,0,0,0
