State,District,Population,Confirmed,Deceased,Recovered,Tested,Vaccinated1,Vaccinated2
JH,West Singhbhum,1501619,5,0,5,0,12587,16980
JK,Anantnag,1070144,10,0,12,0,1472,30949
JK,Bandipora,385099,13,0,19,0,349,6835
JK,Baramulla,1015503,96,0,64,0,1665,29357
JK,Budgam,735753,63,0,53,0,1409,22456
JK,Doda,409576,18,0,26,0,1065,19212
JK,Ganderbal,297003,31,0,12,0,370,9271
JK,Jammu,1526406,20,0,37,0,4121,16781
JK,Kathua,615711,0,1,5,0,1867,22270
JK,Kishtwar,230696,1,0,0,0,3948,3385
JK,Kulgam,422786,2,0,5,0,632,20244
JK,Kupwara,875564,25,0,25,0,3959,42820
JK,Pulwama,570060,5,0,5,0,1021,16829
JK,Punch,476820,7,0,14,0,695,27765
JK,Rajouri,619266,4,0,7,0,1247,9544
JK,Ramban,283313,3,0,0,0,1498,10369
JK,Reasi,314714,4,0,10,0,1644,15636
JK,Samba,318611,0,0,2,0,1207,6224
JK,Shopiyan,265960,0,0,0,0,139,7669
JK,Srinagar,1269751,305,2,274,0,2788,80075
JK,Udhampur,555357,4,0,2,0,2420,14763
KA,Bagalkote,1890826,0,0,0,0,57683,22844
KA,Ballari,2532383,9,0,14,0,54006,84805
KA,Belagavi,4778439,20,1,21,0,39701,98350
KA,Bengaluru Rural,987257,23,2,27,0,5196,22700
KA,Bengaluru Urban,9588910,1165,37,1093,0,48836,247281
KA,Bidar,1700018,0,0,5,0,13739,30558
KA,Chamarajanagara,1020962,6,0,15,0,2102,36658
KA,Chikkaballapura,1254377,11,3,8,0,4700,19860
KA,Chikkamagaluru,1137753,28,0,93,0,4830,13010
KA,Chitradurga,1660378,17,0,12,0,45062,47252
KA,Dakshina Kannada,2083625,192,9,193,0,5124,38765
KA,Davanagere,1946905,10,1,11,0,7079,28149
KA,Dharwad,1846993,4,3,10,0,24515,35313
KA,Gadag,1065235,0,0,0,0,12373,16257
